date	    lpc	cpc
2025-01-06	1%	99%
2025-01-13	1%	99%
2025-01-20	1%	99%
2025-01-27	1%	99%
2025-02-03	1%	99%
2025-02-10	1%	99%
2025-02-17	1%	99%
2025-02-23	5%	95%
2025-02-27	18%	82%
2025-03-05	18%	82%
2025-03-12	25%	74%
2025-03-17	39%	60%
2025-03-18	60%	39%
2025-03-19	77%	22%
2025-03-20	77%	22%
2025-03-21	77%	23%
2025-03-22	75%	24%
2025-03-23	74%	25%
2025-03-24	78%	21%
2025-03-25	85%	15%
2025-03-26	86%	14%
2025-03-27	88%	12%
2025-03-28	90%	9%
2025-03-29	90%	10%
2025-03-30	88%	12%
2025-03-31	93%	7%
2025-04-01	96%	2%
2025-04-02	98%	2%
2025-04-03	99%	1%
2025-04-04	99%	1%
2025-04-05	99%	1%
2025-04-06	98%	2%
2025-04-07	98%	2%
2025-04-08	99%	1%
2025-04-09	99%	1%
2025-04-10	98%	2%
2025-04-11	98%	2%
2025-04-12	99%	1%
2025-04-13	99%	1%
2025-04-14	99%	1%
2025-04-15	98%	2%
2025-04-16	98%	2%
2025-04-17	94%	6%
2025-04-18	98%	2%
2025-04-19	98%	2%
2025-04-20	99%	1%
2025-04-21	96%	2%
2025-04-22	95%	5%
2025-04-23	94%	6%
2025-04-24	90%	9%
2025-04-25	90%	9%
2025-04-26	91%	9%
2025-04-27	89%	11%
