date	    lpc	    cpc	    ndp	    oth	    freq
2025-01-06	20.10%	44.20%	19.30%	16.40%	weekly
2025-01-13	21.50%	44.50%	18.10%	15.90%	weekly
2025-01-20	21.90%	44.80%	17.60%	15.70%	weekly
2025-01-27	22.50%	44.40%	17.50%	15.60%	weekly
2025-02-03	23.40%	43.40%	17.30%	15.90%	weekly
2025-02-10	25.50%	42.40%	16.50%	15.60%	weekly
2025-02-17	26.50%	42.20%	15.90%	15.40%	weekly
2025-02-23	27.40%	41.80%	15.40%	15.40%	weekly
2025-02-27	30.80%	40.20%	14.40%	14.60%	weekly
2025-03-05	30.80%	40.30%	14.40%	14.50%	weekly
2025-03-12	31.90%	39.80%	14.00%	14.30%	weekly
2025-03-17	33.40%	38.90%	13.50%	14.20%	daily
2025-03-18	35.90%	38.10%	12.40%	13.60%	daily
2025-03-19	37.70%	37.40%	11.50%	13.40%	daily
2025-03-20	37.75%	37.30%	11.450%	13.00%	daily
2025-03-21	37.80%	37.20%	11.40%	13.60%	daily
2025-03-22	37.65%	37.15%	11.50%	13.70%	daily
2025-03-23	37.50%	37.10%	11.60%	13.80%	daily
2025-03-24	37.70%	37.00%	11.40%	13.90%	daily
2025-03-25	39.60%	37.30%	10.10%	13.00%	daily
2025-03-26	40.00%	37.30%	9.80%	12.90%	daily
2025-03-27	40.20%	37.30%	9.70%	12.80%	daily
2025-03-28	40.80%	37.50%	9.20%	12.50%	daily
2025-03-29	41.20%	37.60%	8.90%	12.30%	daily
2025-03-30	41.20%	37.80%	9.10%	11.90%	daily
2025-03-31	42.00%	37.50%	9.10%	11.40%	daily
2025-04-01	43.20%	37.40%	8.50%	10.90%	daily
2025-04-02	43.50%	37.40%	8.40%	10.70%	daily
2025-04-03	43.40%	37.60%	8.40%	10.60%	daily
2025-04-04	43.60%	37.70%	8.20%	10.50%	daily
2025-04-05	44.20%	37.30%	8.10%	10.40%	daily
2025-04-06	43.90%	37.40%	8.40%	10.30%	daily
2025-04-07	43.90%	37.20%	8.60%	10.30%	daily
2025-04-08	44.00%	36.90%	8.70%	10.40%	daily
2025-04-09	44.00%	37.10%	8.50%	10.40%	daily
2025-04-10	43.90%	37.30%	8.60%	10.20%	daily
2025-04-11	43.90%	37.50%	8.50%	10.10%	daily
2025-04-12	44.30%	37.50%	8.30%	9.90%	daily
2025-04-13	44.10%	38.00%	8.10%	9.80%	daily
2025-04-14	44.00%	37.80%	8.70%	9.50%	daily
2025-04-15	44.10%	37.90%	8.20%	9.80%	daily
2025-04-16	43.60%	37.80%	8.40%	10.20%	daily
2025-04-17	43.30%	38.00%	8.50%	10.20%	daily
2025-04-18	43.70%	37.70%	8.50%	10.10%	daily
2025-04-19	43.60%	38.00%	8.30%	10.10%	daily
2025-04-20	43.30%	38.40%	8.20%	10.10%	daily
2025-04-21	43.20%	38.00%	8.30%	10.50%	daily
2025-04-22	43.10%	38.40%	8.30%	10.20%	daily
2025-04-23	42.70%	38.30%	8.40%	10.60%	daily
2025-04-24	42.20%	38.50%	8.80%	10.50%	daily
2025-04-25	42.30%	38.60%	8.60%	10.50%	daily
2025-04-26	42.50%	38.70%	8.60%	10.20%	daily
2025-04-27	42.80%	39.20%	8.10%	9.90%	daily
